PKT t=18631 RX ua=95 mt=R len=7
PKT t=18636 TX ua=95 mt=P len=0
PKT t=18645 RX ua=95 mt=R len=7
PKT t=18650 TX ua=95 mt=P len=0
PKT t=18683 RX ua=95 mt=R len=7
PKT t=18688 TX ua=95 mt=P len=0
PKT t=18697 RX ua=95 mt=R len=7
PKT t=18702 TX ua=95 mt=P len=0
PKT t=18711 RX ua=95 mt=R len=7
PKT t=18716 TX ua=95 mt=P len=0
PKT t=18725 RX ua=95 mt=R len=7
PKT t=18730 TX ua=95 mt=T len=7
PKT t=18743 TX ua=95 mt=P len=0
